# DUSTEM: Heat Capacity 
# 
# 
# 
# nr of sizes
# sizes (microns)
# nr of T-values
# log T(K) log C_1...log C_ns (erg/K/cm3)
          30
 3.0000E-04  4.1947E-04  5.8652E-04  8.2010E-04  1.1467E-03  1.6033E-03  2.2419E-03  3.1346E-03  4.3830E-03  6.1284E-03  8.5690E-03  1.1982E-02  1.6753E-02  2.3425E-02  3.2753E-02  4.5797E-02  6.4035E-02  8.9536E-02  1.2519E-01  1.7505E-01  2.4476E-01  3.4223E-01  4.7852E-01  6.6909E-01  9.3555E-01  1.3081E+00  1.8291E+00  2.5575E+00  3.5759E+00  5.0000E+00
          30
-1.0000E+00  2.7044E-01  2.9967E-01  3.1691E-01  3.2674E-01  3.3210E-01  3.3485E-01  3.3615E-01  3.3670E-01  3.3675E-01  3.3675E-01  3.3675E-01  3.3675E-01  3.3675E-01  4.0365E-01  5.0065E-01  5.4709E-01  5.6615E-01  5.7345E-01  5.7616E-01  5.7716E-01  5.7753E-01  5.7767E-01  5.7772E-01  5.7773E-01  5.7774E-01  5.7774E-01  5.7774E-01  5.7775E-01  5.7775E-01  5.7775E-01
-8.3797E-01  7.2576E-01  7.5298E-01  7.6910E-01  7.7831E-01  7.8333E-01  7.8591E-01  7.8713E-01  7.8764E-01  7.8769E-01  7.8769E-01  7.8770E-01  7.8770E-01  7.8770E-01  8.5459E-01  9.5159E-01  9.9804E-01  1.0171E+00  1.0244E+00  1.0271E+00  1.0281E+00  1.0285E+00  1.0286E+00  1.0287E+00  1.0287E+00  1.0287E+00  1.0287E+00  1.0287E+00  1.0287E+00  1.0287E+00  1.0287E+00
-6.7592E-01  1.0675E+00  1.0937E+00  1.1092E+00  1.1181E+00  1.1229E+00  1.1254E+00  1.1266E+00  1.1271E+00  1.1272E+00  1.1272E+00  1.1272E+00  1.1272E+00  1.1272E+00  1.1941E+00  1.2911E+00  1.3375E+00  1.3566E+00  1.3639E+00  1.3666E+00  1.3676E+00  1.3679E+00  1.3681E+00  1.3681E+00  1.3681E+00  1.3682E+00  1.3682E+00  1.3682E+00  1.3682E+00  1.3682E+00  1.3682E+00
-5.1390E-01  1.4160E+00  1.4408E+00  1.4555E+00  1.4640E+00  1.4686E+00  1.4710E+00  1.4721E+00  1.4726E+00  1.4726E+00  1.4726E+00  1.4726E+00  1.4726E+00  1.4726E+00  1.5395E+00  1.6365E+00  1.6829E+00  1.7020E+00  1.7093E+00  1.7120E+00  1.7130E+00  1.7134E+00  1.7135E+00  1.7136E+00  1.7136E+00  1.7136E+00  1.7136E+00  1.7136E+00  1.7136E+00  1.7136E+00  1.7136E+00
-3.5186E-01  1.7733E+00  1.7963E+00  1.8100E+00  1.8179E+00  1.8222E+00  1.8244E+00  1.8255E+00  1.8259E+00  1.8260E+00  1.8260E+00  1.8260E+00  1.8260E+00  1.8260E+00  1.8929E+00  1.9899E+00  2.0363E+00  2.0554E+00  2.0627E+00  2.0654E+00  2.0664E+00  2.0667E+00  2.0669E+00  2.0669E+00  2.0669E+00  2.0670E+00  2.0670E+00  2.0670E+00  2.0670E+00  2.0670E+00  2.0670E+00
-1.8983E-01  2.1415E+00  2.1623E+00  2.1748E+00  2.1820E+00  2.1859E+00  2.1879E+00  2.1889E+00  2.1893E+00  2.1893E+00  2.1893E+00  2.1893E+00  2.1893E+00  2.1893E+00  2.2562E+00  2.3532E+00  2.3997E+00  2.4187E+00  2.4260E+00  2.4287E+00  2.4297E+00  2.4301E+00  2.4302E+00  2.4303E+00  2.4303E+00  2.4303E+00  2.4303E+00  2.4303E+00  2.4303E+00  2.4303E+00  2.4303E+00
-2.7797E-02  2.5226E+00  2.5409E+00  2.5519E+00  2.5583E+00  2.5618E+00  2.5636E+00  2.5644E+00  2.5648E+00  2.5648E+00  2.5648E+00  2.5648E+00  2.5648E+00  2.5648E+00  2.6317E+00  2.7287E+00  2.7752E+00  2.7942E+00  2.8015E+00  2.8042E+00  2.8052E+00  2.8056E+00  2.8057E+00  2.8058E+00  2.8058E+00  2.8058E+00  2.8058E+00  2.8058E+00  2.8058E+00  2.8058E+00  2.8058E+00
 1.3424E-01  2.9181E+00  2.9337E+00  2.9431E+00  2.9485E+00  2.9515E+00  2.9531E+00  2.9538E+00  2.9541E+00  2.9541E+00  2.9541E+00  2.9541E+00  2.9541E+00  2.9541E+00  3.0210E+00  3.1180E+00  3.1645E+00  3.1835E+00  3.1908E+00  3.1936E+00  3.1946E+00  3.1949E+00  3.1951E+00  3.1951E+00  3.1951E+00  3.1951E+00  3.1951E+00  3.1951E+00  3.1951E+00  3.1951E+00  3.1951E+00
 2.9627E-01  3.3285E+00  3.3413E+00  3.3491E+00  3.3537E+00  3.3561E+00  3.3574E+00  3.3580E+00  3.3583E+00  3.3583E+00  3.3583E+00  3.3583E+00  3.3583E+00  3.3583E+00  3.4252E+00  3.5222E+00  3.5687E+00  3.5877E+00  3.5950E+00  3.5977E+00  3.5987E+00  3.5991E+00  3.5992E+00  3.5993E+00  3.5993E+00  3.5993E+00  3.5993E+00  3.5993E+00  3.5993E+00  3.5993E+00  3.5993E+00
 4.5831E-01  3.7537E+00  3.7638E+00  3.7701E+00  3.7737E+00  3.7757E+00  3.7767E+00  3.7772E+00  3.7774E+00  3.7774E+00  3.7774E+00  3.7774E+00  3.7774E+00  3.7774E+00  3.8443E+00  3.9413E+00  3.9878E+00  4.0068E+00  4.0141E+00  4.0169E+00  4.0179E+00  4.0182E+00  4.0184E+00  4.0184E+00  4.0184E+00  4.0184E+00  4.0184E+00  4.0184E+00  4.0184E+00  4.0184E+00  4.0184E+00
