# g=<cos(theta)>  scattering factors for DUSTEM
#
# nsize (number of sampled sizes in this file)
# sizes (microns)
# g values: g(size1),...., g(sizeN)
#
          50
 3.0000E-04  3.7104E-04  4.5891E-04  5.6759E-04  7.0200E-04  8.6824E-04  1.0738E-03  1.3281E-03  1.6427E-03  2.0317E-03  2.5128E-03  3.1079E-03  3.8438E-03  4.7541E-03  5.8799E-03  7.2724E-03  8.9946E-03  1.1125E-02  1.3759E-02  1.7017E-02  2.1047E-02  2.6031E-02  3.2196E-02  3.9820E-02  4.9250E-02  6.0913E-02  7.5338E-02  9.3179E-02  1.1525E-01  1.4254E-01  1.7629E-01  2.1804E-01  2.6967E-01  3.3354E-01  4.1252E-01  5.1021E-01  6.3103E-01  7.8047E-01  9.6529E-01  1.1939E+00  1.4766E+00  1.8263E+00  2.2588E+00  2.7937E+00  3.4553E+00  4.2735E+00  5.2855E+00  6.5372E+00  8.0853E+00  1.0000E+01
#### g-factor ####              (lines are lambda from LAMBDA.DAT and columns are the N sizes)
 3.4524E-04  5.2817E-04  8.0808E-04  1.2364E-03  1.8920E-03  2.8959E-03  4.4337E-03  6.7910E-03  1.0409E-02  1.5969E-02  2.4533E-02  3.7763E-02  5.8266E-02  9.0133E-02  1.3962E-01  2.1556E-01  3.2765E-01  4.7778E-01  6.4155E-01  7.6367E-01  8.2004E-01  8.7119E-01  9.0883E-01  9.3626E-01  9.5347E-01  9.6608E-01  9.7459E-01  9.8035E-01  9.8391E-01  9.8543E-01  9.8477E-01  9.8041E-01  9.7077E-01  9.7110E-01  9.7804E-01  9.7348E-01  9.7629E-01  9.7338E-01  9.7400E-01  9.7362E-01  9.7323E-01  9.7253E-01  9.7279E-01  9.7273E-01  9.7280E-01  9.7306E-01  9.7337E-01  9.7345E-01  9.7359E-01  9.7369E-01
 3.3418E-04  5.1125E-04  7.8218E-04  1.1968E-03  1.8314E-03  2.8030E-03  4.2914E-03  6.5729E-03  1.0074E-02  1.5454E-02  2.3741E-02  3.6542E-02  5.6382E-02  8.7232E-02  1.3520E-01  2.0902E-01  3.1860E-01  4.6687E-01  6.3136E-01  7.5769E-01  8.1769E-01  8.6764E-01  9.0766E-01  9.3469E-01  9.5220E-01  9.6509E-01  9.7406E-01  9.7974E-01  9.8339E-01  9.8514E-01  9.8473E-01  9.8123E-01  9.7405E-01  9.7285E-01  9.7764E-01  9.7587E-01  9.7683E-01  9.7641E-01  9.7662E-01  9.7661E-01  9.7692E-01  9.7693E-01  9.7717E-01  9.7725E-01  9.7733E-01  9.7739E-01  9.7742E-01  9.7744E-01  9.7744E-01  9.7743E-01
 3.2347E-04  4.9486E-04  7.5711E-04  1.1584E-03  1.7727E-03  2.7131E-03  4.1536E-03  6.3616E-03  9.7497E-03  1.4956E-02  2.2974E-02  3.5359E-02  5.4557E-02  8.4420E-02  1.3091E-01  2.0264E-01  3.0970E-01  4.5600E-01  6.2099E-01  7.5132E-01  8.1517E-01  8.6411E-01  9.0629E-01  9.3287E-01  9.5084E-01  9.6404E-01  9.7333E-01  9.7907E-01  9.8280E-01  9.8467E-01  9.8450E-01  9.8178E-01  9.7679E-01  9.7548E-01  9.7843E-01  9.7823E-01  9.7872E-01  9.7904E-01  9.7921E-01  9.7934E-01  9.7958E-01  9.7968E-01  9.7979E-01  9.7985E-01  9.7990E-01  9.7992E-01  9.7993E-01  9.7993E-01  9.7993E-01  9.7992E-01
 3.1310E-04  4.7900E-04  7.3283E-04  1.1213E-03  1.7158E-03  2.6260E-03  4.0202E-03  6.1571E-03  9.4358E-03  1.4474E-02  2.2232E-02  3.4215E-02  5.2790E-02  8.1694E-02  1.2674E-01  1.9641E-01  3.0095E-01  4.4518E-01  6.1047E-01  7.4458E-01  8.1244E-01  8.6062E-01  9.0467E-01  9.3088E-01  9.4942E-01  9.6295E-01  9.7242E-01  9.7836E-01  9.8218E-01  9.8411E-01  9.8418E-01  9.8221E-01  9.7882E-01  9.7783E-01  9.7963E-01  9.8003E-01  9.8046E-01  9.8087E-01  9.8106E-01  9.8123E-01  9.8141E-01  9.8152E-01  9.8160E-01  9.8165E-01  9.8169E-01  9.8170E-01  9.8171E-01  9.8171E-01  9.8171E-01  9.8170E-01
 3.0306E-04  4.6363E-04  7.0932E-04  1.0853E-03  1.6607E-03  2.5417E-03  3.8910E-03  5.9591E-03  9.1320E-03  1.4007E-02  2.1514E-02  3.3107E-02  5.1079E-02  7.9052E-02  1.2269E-01  1.9035E-01  2.9235E-01  4.3441E-01  5.9980E-01  7.3749E-01  8.0947E-01  8.5719E-01  9.0280E-01  9.2879E-01  9.4800E-01  9.6185E-01  9.7141E-01  9.7759E-01  9.8151E-01  9.8351E-01  9.8383E-01  9.8247E-01  9.8023E-01  9.7961E-01  9.8078E-01  9.8134E-01  9.8177E-01  9.8215E-01  9.8237E-01  9.8255E-01  9.8270E-01  9.8281E-01  9.8289E-01  9.8294E-01  9.8297E-01  9.8299E-01  9.8300E-01  9.8300E-01  9.8300E-01  9.8299E-01
 2.9333E-04  4.4875E-04  6.8655E-04  1.0504E-03  1.6074E-03  2.4600E-03  3.7659E-03  5.7673E-03  8.8378E-03  1.3555E-02  2.0818E-02  3.2034E-02  4.9421E-02  7.6492E-02  1.1875E-01  1.8443E-01  2.8392E-01  4.2372E-01  5.8900E-01  7.3006E-01  8.0625E-01  8.5382E-01  9.0065E-01  9.2665E-01  9.4659E-01  9.6074E-01  9.7035E-01  9.7677E-01  9.8077E-01  9.8288E-01  9.8342E-01  9.8257E-01  9.8116E-01  9.8086E-01  9.8169E-01  9.8228E-01  9.8270E-01  9.8306E-01  9.8329E-01  9.8347E-01  9.8362E-01  9.8373E-01  9.8380E-01  9.8386E-01  9.8389E-01  9.8391E-01  9.8393E-01  9.8393E-01  9.8393E-01  9.8392E-01
 2.8391E-04  4.3434E-04  6.6450E-04  1.0167E-03  1.5557E-03  2.3809E-03  3.6448E-03  5.5817E-03  8.5529E-03  1.3117E-02  2.0145E-02  3.0995E-02  4.7816E-02  7.4012E-02  1.1494E-01  1.7867E-01  2.7565E-01  4.1311E-01  5.7808E-01  7.2230E-01  8.0274E-01  8.5052E-01  8.9825E-01  9.2450E-01  9.4518E-01  9.5959E-01  9.6928E-01  9.7588E-01  9.7996E-01  9.8222E-01  9.8297E-01  9.8254E-01  9.8173E-01  9.8168E-01  9.8236E-01  9.8292E-01  9.8334E-01  9.8368E-01  9.8392E-01  9.8411E-01  9.8425E-01  9.8436E-01  9.8444E-01  9.8449E-01  9.8453E-01  9.8455E-01  9.8457E-01  9.8457E-01  9.8457E-01  9.8457E-01
 2.7479E-04  4.2039E-04  6.4315E-04  9.8403E-04  1.5057E-03  2.3044E-03  3.5275E-03  5.4020E-03  8.2772E-03  1.2694E-02  1.9493E-02  2.9990E-02  4.6262E-02  7.1608E-02  1.1124E-01  1.7306E-01  2.6754E-01  4.0259E-01  5.6707E-01  7.1424E-01  7.9895E-01  8.4728E-01  8.9560E-01  9.2238E-01  9.4377E-01  9.5840E-01  9.6820E-01  9.7493E-01  9.7911E-01  9.8151E-01  9.8246E-01  9.8239E-01  9.8203E-01  9.8218E-01  9.8278E-01  9.8332E-01  9.8374E-01  9.8407E-01  9.8432E-01  9.8451E-01  9.8466E-01  9.8477E-01  9.8485E-01  9.8490E-01  9.8494E-01  9.8497E-01  9.8499E-01  9.8499E-01  9.8500E-01  9.8499E-01
