2.20000000e-02	1.83707908e-03	0.00000000e+00
2.30000000e-02	8.64276261e-03	5.23992084e-06
2.40000000e-02	8.11418766e-03	1.36183960e-05
2.50000000e-02	7.73181430e-03	2.15413970e-05
2.60000000e-02	7.81616137e-03	2.93153848e-05
2.70000000e-02	8.38409827e-03	3.74155146e-05
2.80000000e-02	7.97360922e-03	4.55943684e-05
2.90000000e-02	8.53592299e-03	5.38491345e-05
3.00000000e-02	7.79929195e-03	6.20167419e-05
3.10000000e-02	7.97923236e-03	6.99060041e-05
3.20000000e-02	7.86676961e-03	7.78290051e-05
3.30000000e-02	7.82740764e-03	8.56760937e-05
3.40000000e-02	7.43941114e-03	9.33095031e-05
3.50000000e-02	7.66995979e-03	1.00864189e-04
3.60000000e-02	1.04421667e-02	1.09920252e-04
3.70000000e-02	1.29557092e-02	1.21619190e-04
3.80000000e-02	1.17242421e-02	1.33959165e-04
3.90000000e-02	1.26914217e-02	1.46166997e-04
4.00000000e-02	1.63352149e-02	1.60680316e-04
4.10000000e-02	1.77522456e-02	1.77724046e-04
4.20000000e-02	1.66332412e-02	1.94916789e-04
4.30000000e-02	1.58684945e-02	2.11167657e-04
4.40000000e-02	1.74261037e-02	2.27814956e-04
4.50000000e-02	1.78815778e-02	2.45468797e-04
4.60000000e-02	1.64083157e-02	2.62613744e-04
4.70000000e-02	1.65264016e-02	2.79081102e-04
4.80000000e-02	1.75835515e-02	2.96136079e-04
4.90000000e-02	1.63577075e-02	3.13106709e-04
5.00000000e-02	1.81346190e-02	3.30352872e-04
5.10000000e-02	2.38983351e-02	3.51369349e-04
5.20000000e-02	2.67998742e-02	3.76718453e-04
5.30000000e-02	2.44775183e-02	4.02357150e-04
5.40000000e-02	2.17559197e-02	4.25473869e-04
5.50000000e-02	2.18908750e-02	4.47297266e-04
5.60000000e-02	2.65355867e-02	4.71510497e-04
5.70000000e-02	2.88073343e-02	4.99181957e-04
5.80000000e-02	2.84362072e-02	5.27803728e-04
