# Mon Jul 22 14:51:11 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.001000  6.09415E-01   -1.13189E-01    5.98809E-01    6.45123E-05
    0.001014  1.11506E+00   -2.07213E-01    1.09563E+00   -3.88228E-04
    0.001027  1.17977E+00   -2.19311E-01    1.15920E+00   -5.34832E-04
    0.001041  7.86162E-01   -1.46295E-01    7.72428E-01    5.72067E-04
    0.001055  9.28804E-01   -1.72856E-01    9.12576E-01    4.04334E-04
    0.001069  1.41236E+00   -2.62828E-01    1.38769E+00    3.93886E-04
    0.001084  1.09907E+00   -2.04381E-01    1.07989E+00    1.01412E-04
    0.001099  8.37689E-01   -1.55445E-01    8.23136E-01   -1.67051E-04
    0.001113  1.13002E+00   -2.10472E-01    1.11024E+00    8.50660E-04
    0.001128  1.08776E+00   -2.02444E-01    1.06876E+00    4.46173E-04
    0.001144  8.86350E-01   -1.64790E-01    8.70893E-01    3.19583E-04
    0.001159  2.13931E+00   -3.98447E-01    2.10188E+00   -2.93380E-04
    0.001175  1.84142E+00   -3.42715E-01    1.80924E+00   -6.98234E-04
    0.001191  1.95608E+00   -3.64284E-01    1.92185E+00   -3.80655E-04
    0.001207  1.39697E+00   -2.60066E-01    1.37254E+00    4.89673E-05
    0.001223  1.98027E+00   -3.69090E-01    1.94556E+00    6.11377E-04
    0.001240  2.23464E+00   -4.16132E-01    2.19555E+00   -3.90642E-04
    0.001257  1.92235E+00   -3.57981E-01    1.88872E+00   -3.02496E-05
    0.001274  1.98831E+00   -3.70442E-01    1.95350E+00    7.71870E-04
    0.001291  9.85719E-01   -1.83111E-01    9.68555E-01   -1.01975E-03
    0.001308  1.56286E+00   -2.90972E-01    1.53552E+00    3.75463E-04
    0.001326  1.33236E+00   -2.47967E-01    1.30907E+00    1.32405E-04
    0.001344  2.69153E+00   -5.01212E-01    2.64445E+00    1.10851E-03
    0.001362  1.43908E+00   -2.67635E-01    1.41397E+00   -1.17170E-03
    0.001380  1.37486E+00   -2.55951E-01    1.35081E+00   -1.29391E-04
    0.001399  1.98696E+00   -3.69718E-01    1.95225E+00    3.83552E-04
    0.001418  1.70320E+00   -3.16884E-01    1.67346E+00   -1.56124E-03
    0.001437  2.91173E+00   -5.42472E-01    2.86074E+00    1.67088E-03
    0.001457  2.02559E+00   -3.77542E-01    1.99009E+00    1.53445E-03
    0.001476  2.48018E+00   -4.61431E-01    2.43686E+00    1.10075E-04
    0.001496  1.17374E+00   -2.19077E-01    1.15310E+00   -1.48302E-03
    0.001516  2.89140E+00   -5.38611E-01    2.84078E+00    1.21291E-03
    0.001537  2.85723E+00   -5.32079E-01    2.80724E+00   -4.50141E-04
    0.001558  2.31211E+00   -4.31075E-01    2.27156E+00   -1.51855E-03
    0.001579  2.78300E+00   -5.17820E-01    2.73439E+00    2.95546E-03
    0.001600  1.56678E+00   -2.90748E-01    1.53955E+00    1.89678E-03
    0.001622  2.33032E+00   -4.32385E-01    2.28983E+00   -1.10266E-03
    0.001644  2.71453E+00   -5.05305E-01    2.66707E+00   -2.48359E-04
    0.001666  3.32077E+00   -6.16257E-01    3.26306E+00    1.39711E-03
    0.001689  1.98001E+00   -3.67878E-01    1.94551E+00    6.36893E-04
    0.001711  2.80899E+00   -5.22573E-01    2.75993E+00    1.35796E-03
    0.001734  3.21929E+00   -5.98619E-01    3.16312E+00    4.23060E-04
    0.001758  2.61625E+00   -4.87934E-01    2.57032E+00   -3.39828E-03
    0.001782  2.78289E+00   -5.18200E-01    2.73419E+00   -6.93267E-03
    0.001806  3.81866E+00   -7.12023E-01    3.75167E+00   -3.39532E-03
    0.001830  2.47391E+00   -4.61554E-01    2.43044E+00   -5.09262E-03
    0.001855  2.84071E+00   -5.29557E-01    2.79087E+00   -4.22173E-03
    0.001880  3.62907E+00   -6.76065E-01    3.56551E+00   -4.66362E-03
    0.001905  2.81243E+00   -5.24751E-01    2.76300E+00   -3.18804E-03
    0.001931  2.80827E+00   -5.23683E-01    2.75897E+00   -1.07571E-03
    0.001957  3.68975E+00   -6.86805E-01    3.62522E+00   -3.37412E-03
    0.001984  5.34018E+00   -9.96112E-01    5.24642E+00   -5.03166E-03
    0.002011  3.20150E+00   -5.97380E-01    3.14522E+00    1.61632E-03
    0.002038  5.36253E+00   -1.00112E+00    5.26821E+00   -2.29338E-03
    0.002065  3.68111E+00   -6.88143E-01    3.61615E+00   -6.75219E-03
    0.002093  3.69347E+00   -6.88028E-01    3.62875E+00   -3.92150E-03
    0.002122  4.12742E+00   -7.67419E-01    4.05536E+00   -3.66737E-03
    0.002150  4.09271E+00   -7.63343E-01    4.02081E+00   -6.91828E-03
    0.002179  5.05312E+00   -9.45660E-01    4.96378E+00   -2.51894E-03
    0.002209  3.44159E+00   -6.46500E-01    3.38026E+00    4.92921E-03
    0.002239  3.60653E+00   -6.71924E-01    3.54327E+00   -6.45956E-03
    0.002269  3.47437E+00   -6.48916E-01    3.41312E+00    5.47782E-03
    0.002300  5.18358E+00   -9.69971E-01    5.09193E+00   -3.40293E-03
    0.002331  4.59693E+00   -8.61868E-01    4.51530E+00   -9.12119E-03
    0.002362  4.15512E+00   -7.76287E-01    4.08182E+00   -1.01611E-02
    0.002394  4.77313E+00   -8.91567E-01    4.68897E+00   -6.29806E-03
    0.002427  2.90984E+00   -5.38740E-01    2.85936E+00    8.31131E-03
    0.002459  3.44005E+00   -6.41009E-01    3.37961E+00   -4.97645E-03
    0.002493  4.27921E+00   -7.96248E-01    4.20427E+00   -1.22209E-02
    0.002526  3.52393E+00   -6.51875E-01    3.46288E+00   -2.25818E-03
    0.002561  4.24166E+00   -7.92112E-01    4.16684E+00    3.18218E-04
    0.002595  5.22412E+00   -9.77852E-01    5.13160E+00   -1.68914E-03
    0.002630  4.97973E+00   -9.31809E-01    4.89155E+00   -7.75079E-03
    0.002666  4.37736E+00   -8.18760E-01    4.29985E+00   -8.27950E-03
    0.002702  3.40779E+00   -6.29983E-01    3.34869E+00   -2.57555E-02
    0.002738  5.76078E+00   -1.07110E+00    5.66002E+00   -1.05903E-02
    0.002775  5.55209E+00   -1.04434E+00    5.45270E+00   -2.54486E-02
    0.002813  4.35338E+00   -8.03701E-01    4.27814E+00   -1.94429E-02
    0.002851  4.45526E+00   -8.27572E-01    4.37734E+00   -9.25301E-03
    0.002890  4.77056E+00   -8.85109E-01    4.68736E+00    2.15160E-03
    0.002929  4.65890E+00   -8.69164E-01    4.57671E+00   -9.58721E-03
    0.002968  6.14768E+00   -1.15298E+00    6.03824E+00   -1.37652E-02
    0.003008  6.80008E+00   -1.27575E+00    6.67893E+00   -3.25794E-02
    0.003049  5.34566E+00   -9.89411E-01    5.25285E+00   -4.74836E-03
    0.003090  7.07767E+00   -1.33559E+00    6.95023E+00   -8.07207E-03
    0.003132  5.61650E+00   -1.04753E+00    5.51741E+00   -3.02378E-02
    0.003174  5.63922E+00   -1.05189E+00    5.53972E+00   -2.19970E-02
    0.003217  4.76556E+00   -8.74105E-01    4.68412E+00   -8.82979E-03
    0.003261  5.38650E+00   -1.00399E+00    5.29154E+00   -1.63996E-02
    0.003305  6.08319E+00   -1.12768E+00    5.97726E+00    8.64425E-03
    0.003350  6.53537E+00   -1.22806E+00    6.41849E+00   -9.47742E-03
    0.003395  4.36980E+00   -7.99240E-01    4.29537E+00   -1.49705E-02
    0.003441  6.19987E+00   -1.15254E+00    6.09134E+00    1.97615E-02
    0.003487  5.93074E+00   -1.10995E+00    5.82531E+00   -2.28723E-02
    0.003535  6.68579E+00   -1.25019E+00    6.56727E+00   -1.60290E-02
    0.003582  5.08748E+00   -9.28816E-01    5.00116E+00   -2.13628E-02
    0.003631  5.56405E+00   -1.03753E+00    5.46572E+00   -2.36176E-02
    0.003680  4.86811E+00   -8.82125E-01    4.78676E+00   -3.60966E-04
    0.003730  6.05822E+00   -1.12583E+00    5.95206E+00    8.17908E-04
    0.003780  5.02082E+00   -9.29232E-01    4.93306E+00   -4.22765E-02
    0.003831  5.35950E+00   -9.64702E-01    5.27117E+00    1.25563E-02
    0.003883  6.08020E+00   -1.13202E+00    5.97294E+00   -2.40662E-02
    0.003936  7.88688E+00   -1.45124E+00    7.75128E+00   -6.00191E-03
    0.003989  6.28085E+00   -1.13591E+00    6.17577E+00   -5.78772E-02
    0.004043  6.28780E+00   -1.18168E+00    6.17482E+00   -2.78322E-02
    0.004097  4.29886E+00   -7.80193E-01    4.22676E+00   -1.36807E-02
    0.004153  5.32231E+00   -9.75388E-01    5.23149E+00   -4.88044E-04
    0.004209  6.07520E+00   -1.14748E+00    5.96451E+00   -4.92004E-02
    0.004266  2.06118E+00   -3.70005E-01    2.02750E+00    2.00172E-03
    0.004323  5.95679E+00   -1.11684E+00    5.85012E+00   -2.33838E-02
    0.004382  4.70146E+00   -8.20716E-01    4.62896E+00    9.07969E-03
    0.004441  2.74412E-02   -5.09691E-03    2.69634E-02    1.65851E-05
    0.004501  5.09779E-01   -9.59696E-02    5.00659E-01   -3.16640E-04
    0.004562  7.97444E-01   -1.50489E-01    7.83070E-01   -1.96284E-03
    0.004624  1.36857E+00   -2.59694E-01    1.34361E+00    4.33959E-03
    0.004686  2.86079E+00   -5.47755E-01    2.80776E+00   -7.47859E-03
    0.004750  2.02291E+00   -3.81898E-01    1.98619E+00   -9.12854E-03
    0.004814  2.96517E+00   -5.67778E-01    2.90993E+00   -6.92889E-03
    0.004879  2.93863E+00   -5.60149E-01    2.88424E+00    9.59704E-03
    0.004945  3.27804E+00   -6.29796E-01    3.21634E+00   -1.55225E-02
    0.005012  4.66952E+00   -8.99547E-01    4.58145E+00    1.12292E-02
    0.005080  5.58190E+00   -1.07269E+00    5.47705E+00   -2.82201E-02
    0.005148  3.01528E+00   -5.63680E-01    2.96062E+00   -1.49299E-02
    0.005218  6.15583E+00   -1.19604E+00    6.03765E+00    2.31066E-02
    0.005289  5.32740E+00   -1.01663E+00    5.22782E+00   -3.97503E-02
    0.005360  7.04493E+00   -1.36024E+00    6.91096E+00   -8.33293E-03
    0.005433  4.68084E+00   -8.79079E-01    4.59522E+00    7.46784E-03
    0.005506  7.30068E+00   -1.41607E+00    7.16012E+00   -5.93879E-02
    0.005580  5.94850E+00   -1.13029E+00    5.83743E+00    7.42497E-03
    0.005656  8.11849E+00   -1.56815E+00    7.96338E+00    2.04822E-02
    0.005732  7.36243E+00   -1.39892E+00    7.22488E+00   -9.25428E-02
    0.005810  6.75084E+00   -1.28800E+00    6.62348E+00    4.80484E-02
    0.005888  8.70950E+00   -1.67518E+00    8.54332E+00   -8.39478E-02
    0.005968  9.35608E+00   -1.79505E+00    9.17887E+00    4.79655E-02
    0.006049  5.82321E+00   -1.06292E+00    5.71974E+00   -6.16717E-02
    0.006131  1.04728E+01   -2.04625E+00    1.02675E+01   -3.53186E-02
    0.006213  9.89546E+00   -1.87652E+00    9.71072E+00   -3.56403E-02
    0.006297  7.66314E+00   -1.42629E+00    7.52305E+00    2.94536E-02
    0.006383  1.15253E+01   -2.22036E+00    1.13042E+01   -8.92275E-02
    0.006469  7.96186E+00   -1.46792E+00    7.81786E+00   -1.07873E-03
    0.006556  1.30680E+01   -2.53152E+00    1.28151E+01   -8.92502E-02
    0.006645  8.81701E+00   -1.60740E+00    8.66128E+00    1.15187E-01
    0.006735  9.77792E+00   -1.81654E+00    9.59821E+00   -1.90086E-01
    0.006826  1.23284E+01   -2.38190E+00    1.20891E+01   -3.27684E-02
    0.006918  1.25212E+01   -2.34620E+00    1.22908E+01    2.58055E-02
    0.007012  1.03153E+01   -1.87555E+00    1.01320E+01   -8.38404E-02
    0.007107  1.28737E+01   -2.44019E+00    1.26311E+01   -1.89591E-02
    0.007203  1.17473E+01   -2.15700E+00    1.15350E+01   -1.41614E-01
