# Mon Jul 22 14:51:12 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.001000  9.86681E-03   -5.16409E-03   -8.40750E-03   -2.06625E-06
    0.001014  9.60160E-03   -5.02566E-03   -8.18129E-03   -2.41953E-06
    0.001027  1.00846E-02   -5.28257E-03   -8.59035E-03    1.19526E-06
    0.001041  7.03762E-03   -3.68223E-03   -5.99743E-03   -1.13257E-06
    0.001055  1.15200E-02   -6.03021E-03   -9.81562E-03    1.77175E-06
    0.001069  9.02878E-03   -4.73001E-03   -7.69063E-03    2.78916E-06
    0.001084  9.38048E-03   -4.91061E-03   -7.99244E-03    5.17933E-06
    0.001099  6.73592E-03   -3.52486E-03   -5.74002E-03   -9.79937E-08
    0.001113  8.58759E-03   -4.49597E-03   -7.31660E-03   -2.14175E-06
    0.001128  7.73631E-03   -4.04660E-03   -6.59358E-03    2.41773E-06
    0.001144  1.33315E-02   -6.97905E-03   -1.13588E-02   -5.79791E-07
    0.001159  1.32443E-02   -6.93142E-03   -1.12856E-02    3.22940E-06
    0.001175  1.27253E-02   -6.65552E-03   -1.08461E-02   -2.47993E-06
    0.001191  1.18152E-02   -6.18652E-03   -1.00660E-02    4.16234E-06
    0.001207  1.46038E-02   -7.64284E-03   -1.24442E-02    7.43506E-06
    0.001223  1.40695E-02   -7.36182E-03   -1.19898E-02    6.91412E-06
    0.001240  1.29461E-02   -6.77188E-03   -1.10337E-02   -1.51031E-05
    0.001257  8.03200E-03   -4.20361E-03   -6.84414E-03    1.75410E-06
    0.001274  1.23907E-02   -6.48403E-03   -1.05587E-02   -2.59086E-06
    0.001291  1.97972E-02   -1.03657E-02   -1.68666E-02    4.60245E-06
    0.001308  7.22437E-03   -3.78086E-03   -6.15599E-03    4.18576E-06
    0.001326  1.52969E-02   -8.00899E-03   -1.30326E-02   -5.43906E-06
    0.001344  1.52498E-02   -7.98192E-03   -1.29940E-02    1.22268E-05
    0.001362  1.87470E-02   -9.80942E-03   -1.59758E-02    2.31274E-06
    0.001380  2.33314E-02   -1.22027E-02   -1.98859E-02   -8.11670E-06
    0.001399  1.65080E-02   -8.64895E-03   -1.40609E-02    1.60206E-05
    0.001418  1.67672E-02   -8.76208E-03   -1.42956E-02    1.31208E-06
    0.001437  1.42595E-02   -7.46994E-03   -1.21463E-02   -3.92160E-06
    0.001457  1.40203E-02   -7.33464E-03   -1.19486E-02    5.53959E-06
    0.001476  1.42412E-02   -7.46035E-03   -1.21306E-02   -1.33089E-05
    0.001496  1.07393E-02   -5.62872E-03   -9.14598E-03   -8.37792E-06
    0.001516  1.93147E-02   -1.01166E-02   -1.64533E-02   -8.64725E-07
    0.001537  1.94883E-02   -1.01905E-02   -1.66116E-02   -1.44846E-05
    0.001558  2.66384E-02   -1.39407E-02   -2.26993E-02    9.08810E-07
    0.001579  1.80800E-02   -9.45113E-03   -1.54130E-02   -1.32806E-05
    0.001600  1.64765E-02   -8.62081E-03   -1.40412E-02   -3.24846E-06
    0.001622  2.47747E-02   -1.29541E-02   -2.11181E-02    6.53893E-06
    0.001644  1.68661E-02   -8.82637E-03   -1.43721E-02   -1.63622E-05
    0.001666  2.54467E-02   -1.33198E-02   -2.16820E-02    1.92010E-05
    0.001689  1.82616E-02   -9.58282E-03   -1.55452E-02   -7.05472E-06
    0.001711  2.16638E-02   -1.13262E-02   -1.84670E-02    5.19541E-06
    0.001734  1.77825E-02   -9.30291E-03   -1.51548E-02    9.80898E-06
    0.001758  2.69239E-02   -1.41064E-02   -2.29326E-02    1.64117E-05
    0.001782  2.53110E-02   -1.32325E-02   -2.15764E-02    4.68496E-06
    0.001806  2.26793E-02   -1.18886E-02   -1.93133E-02    7.65548E-06
    0.001830  2.58093E-02   -1.34954E-02   -2.19997E-02   -1.47752E-05
    0.001855  2.30360E-02   -1.20681E-02   -1.96218E-02    2.00930E-05
    0.001880  1.99645E-02   -1.04435E-02   -1.70150E-02    1.57541E-05
    0.001905  3.15413E-02   -1.65093E-02   -2.68754E-02    6.89232E-06
    0.001931  3.21526E-02   -1.68350E-02   -2.73927E-02   -2.61649E-06
    0.001957  2.18021E-02   -1.14171E-02   -1.85735E-02   -2.20574E-05
    0.001984  3.41796E-02   -1.78899E-02   -2.91235E-02    2.68557E-05
    0.002011  2.33636E-02   -1.22382E-02   -1.99016E-02   -1.94521E-05
    0.002038  2.96809E-02   -1.55202E-02   -2.52996E-02   -3.11087E-05
    0.002065  3.11768E-02   -1.63539E-02   -2.65431E-02    2.70905E-05
    0.002093  2.23091E-02   -1.16956E-02   -1.89974E-02    4.04615E-06
    0.002122  3.55289E-02   -1.85623E-02   -3.02941E-02   -1.36933E-05
    0.002150  3.50962E-02   -1.84127E-02   -2.98781E-02   -6.52401E-06
    0.002179  2.73585E-02   -1.43270E-02   -2.33069E-02    4.44263E-06
    0.002209  3.82865E-02   -2.00470E-02   -3.26184E-02    3.15643E-05
    0.002239  3.00985E-02   -1.57918E-02   -2.56227E-02    9.02162E-08
    0.002269  3.43988E-02   -1.80014E-02   -2.93124E-02    2.69780E-05
    0.002300  3.63452E-02   -1.90546E-02   -3.09497E-02   -6.93112E-06
    0.002331  3.23739E-02   -1.69651E-02   -2.75723E-02   -3.68192E-05
    0.002362  3.33783E-02   -1.74761E-02   -2.84372E-02   -4.31297E-05
    0.002394  3.45390E-02   -1.81381E-02   -2.93926E-02   -9.66556E-06
    0.002427  3.47049E-02   -1.81939E-02   -2.95533E-02   -3.40787E-05
    0.002459  4.06744E-02   -2.13325E-02   -3.46310E-02   -4.60978E-05
    0.002493  3.33829E-02   -1.74909E-02   -2.84336E-02    3.59322E-05
    0.002526  4.18239E-02   -2.18948E-02   -3.56347E-02    3.73399E-05
    0.002561  2.88006E-02   -1.51001E-02   -2.45244E-02    2.60815E-05
    0.002595  3.50718E-02   -1.83810E-02   -2.98687E-02   -1.66185E-05
    0.002630  2.76362E-02   -1.44828E-02   -2.35368E-02    4.62063E-06
    0.002666  4.38529E-02   -2.29885E-02   -3.73441E-02    4.28036E-05
    0.002702  3.36951E-02   -1.76644E-02   -2.86933E-02    2.46465E-06
    0.002738  3.19398E-02   -1.67881E-02   -2.71714E-02    1.63858E-06
    0.002775  3.60896E-02   -1.89219E-02   -3.07310E-02   -5.53002E-05
    0.002813  3.87690E-02   -2.03467E-02   -3.30004E-02   -3.28846E-05
    0.002851  4.40772E-02   -2.30679E-02   -3.75585E-02   -3.88364E-05
    0.002890  3.93019E-02   -2.06299E-02   -3.34516E-02    1.53594E-05
    0.002929  3.85897E-02   -2.02214E-02   -3.28668E-02   -3.49769E-05
    0.002968  2.97810E-02   -1.56284E-02   -2.53502E-02   -4.64277E-05
    0.003008  4.53222E-02   -2.37744E-02   -3.85856E-02   -1.17547E-05
    0.003049  4.20820E-02   -2.20753E-02   -3.58267E-02   -1.92057E-05
    0.003090  3.81968E-02   -2.00835E-02   -3.24904E-02   -2.14878E-05
    0.003132  4.47633E-02   -2.34913E-02   -3.81037E-02   -2.76996E-05
    0.003174  3.79996E-02   -1.99406E-02   -3.23467E-02   -2.41292E-05
    0.003217  4.11127E-02   -2.15079E-02   -3.50375E-02   -8.84863E-05
    0.003261  4.23527E-02   -2.22629E-02   -3.60288E-02   -6.22767E-06
    0.003305  4.57801E-02   -2.40237E-02   -3.89697E-02    3.74554E-06
    0.003350  4.08887E-02   -2.14507E-02   -3.48097E-02   -3.56944E-05
    0.003395  4.38610E-02   -2.30752E-02   -3.73000E-02   -2.90785E-05
    0.003441  4.57289E-02   -2.40146E-02   -3.89152E-02   -8.49642E-05
    0.003487  4.15577E-02   -2.17973E-02   -3.53821E-02   -6.20678E-05
    0.003535  4.24224E-02   -2.22644E-02   -3.61097E-02   -1.05684E-04
    0.003582  4.68346E-02   -2.45995E-02   -3.98535E-02   -4.97021E-05
    0.003631  4.31529E-02   -2.26461E-02   -3.67326E-02   -8.19017E-05
    0.003680  4.42054E-02   -2.32348E-02   -3.76061E-02   -8.21579E-05
    0.003730  4.58927E-02   -2.41228E-02   -3.90409E-02   -7.57157E-05
    0.003780  4.49003E-02   -2.35508E-02   -3.82279E-02   -6.86618E-05
    0.003831  4.66771E-02   -2.44690E-02   -3.97491E-02   -4.77438E-05
    0.003883  5.11681E-02   -2.68871E-02   -4.35341E-02   -7.37085E-05
    0.003936  6.10154E-02   -3.20160E-02   -5.19404E-02   -8.64335E-05
    0.003989  5.88688E-02   -3.09151E-02   -5.00973E-02   -1.42728E-04
    0.004043  5.21838E-02   -2.73604E-02   -4.44357E-02   -1.25715E-04
    0.004097  3.82815E-02   -2.00675E-02   -3.25998E-02   -9.90975E-05
    0.004153  4.27527E-02   -2.24314E-02   -3.63950E-02   -1.07297E-04
    0.004209  5.32002E-02   -2.79073E-02   -4.52925E-02   -1.56122E-04
    0.004266  1.67929E-02   -8.79295E-03   -1.43068E-02   -8.87409E-06
    0.004323  5.10871E-02   -2.68174E-02   -4.34818E-02   -1.52174E-04
    0.004382  2.75385E-02   -1.44644E-02   -2.34327E-02    8.13467E-05
    0.004441  2.54478E-04   -1.33142E-04   -2.16863E-04    1.05990E-07
    0.004501  5.39796E-03   -2.82352E-03   -4.60060E-03    4.96817E-06
    0.004562  7.16296E-03   -3.74765E-03   -6.10423E-03    9.99921E-06
    0.004624  1.03180E-02   -5.40988E-03   -8.78575E-03    1.63391E-05
    0.004686  1.61421E-02   -8.43447E-03   -1.37629E-02   -2.61778E-06
    0.004750  2.71659E-02   -1.42331E-02   -2.31381E-02   -4.27821E-05
    0.004814  3.47891E-02   -1.81558E-02   -2.96746E-02   -2.28010E-05
    0.004879  2.77432E-02   -1.45695E-02   -2.36076E-02   -9.83959E-05
    0.004945  3.81484E-02   -1.98483E-02   -3.25763E-02    5.42362E-05
    0.005012  4.24595E-02   -2.20823E-02   -3.62629E-02    1.68585E-05
    0.005080  3.96621E-02   -2.07146E-02   -3.38195E-02    7.70732E-05
    0.005148  5.43397E-02   -2.84918E-02   -4.62680E-02    2.54414E-04
    0.005218  5.81469E-02   -3.06412E-02   -4.94146E-02   -9.66092E-05
    0.005289  4.09518E-02   -2.14382E-02   -3.48877E-02   -2.00189E-04
    0.005360  4.10060E-02   -2.14584E-02   -3.49366E-02   -3.22992E-04
    0.005433  6.97101E-02   -3.62789E-02   -5.95178E-02   -9.77465E-06
    0.005506  4.92689E-02   -2.57065E-02   -4.20209E-02   -2.62803E-04
    0.005580  5.70869E-02   -2.99271E-02   -4.86024E-02    1.26139E-04
    0.005656  7.44354E-02   -3.90070E-02   -6.33866E-02    2.12093E-04
    0.005732  6.35253E-02   -3.31729E-02   -5.41677E-02   -1.08390E-05
    0.005810  5.79972E-02   -3.00589E-02   -4.95939E-02    5.45603E-05
    0.005888  7.80486E-02   -4.09665E-02   -6.64213E-02   -5.41610E-05
    0.005968  9.93023E-02   -5.15118E-02   -8.48871E-02   -1.85493E-05
    0.006049  5.90461E-02   -3.06072E-02   -5.04753E-02   -1.80240E-04
    0.006131  9.60264E-02   -4.98645E-02   -8.20453E-02    5.38153E-04
    0.006213  9.62141E-02   -4.99679E-02   -8.22022E-02    1.06512E-04
    0.006297  7.93182E-02   -4.14289E-02   -6.76207E-02    6.59171E-05
    0.006383  8.06983E-02   -4.24309E-02   -6.86243E-02    3.70699E-04
    0.006469  9.97727E-02   -5.29066E-02   -8.45726E-02    2.11339E-04
    0.006556  8.10391E-02   -4.24471E-02   -6.90105E-02   -1.83616E-04
    0.006645  7.05903E-02   -3.75911E-02   -5.97184E-02   -2.80758E-04
    0.006735  9.35075E-02   -4.85987E-02   -7.98542E-02    2.37134E-04
    0.006826  7.63487E-02   -3.95998E-02   -6.52398E-02    5.14655E-06
    0.006918  8.64694E-02   -4.50816E-02   -7.37513E-02    2.54681E-04
    0.007012  1.11444E-01   -5.84648E-02   -9.48422E-02    6.85994E-04
    0.007107  1.12846E-01   -5.98746E-02   -9.56152E-02   -5.14369E-04
    0.007203  9.99814E-02   -5.22790E-02   -8.51920E-02   -5.57150E-04
    0.007300  1.06183E-01   -5.55667E-02   -9.04444E-02   -1.10134E-03
    0.007399  1.25203E-01   -6.53240E-02   -1.06765E-01   -6.32012E-04
    0.007499  1.44635E-01   -7.57234E-02   -1.23175E-01   -7.49119E-04
    0.007600  1.13334E-01   -5.96527E-02   -9.63047E-02   -1.56329E-04
    0.007703  1.13879E-01   -5.96520E-02   -9.69477E-02    1.00127E-05
    0.007807  1.03857E-01   -5.41887E-02   -8.85427E-02    6.86501E-05
    0.007913  1.14016E-01   -5.87069E-02   -9.77016E-02    2.69379E-04
    0.008020  1.46874E-01   -7.75017E-02   -1.24703E-01    4.74405E-04
    0.008128  1.42959E-01   -7.46804E-02   -1.21847E-01    1.41129E-03
    0.008238  9.70309E-02   -5.04986E-02   -8.27882E-02   -2.65705E-04
    0.008350  1.22989E-01   -6.42893E-02   -1.04778E-01    4.47066E-04
    0.008463  1.41196E-01   -7.40054E-02   -1.20171E-01   -5.96902E-04
    0.008577  1.55105E-01   -8.10618E-02   -1.32158E-01    1.34335E-04
    0.008693  1.33961E-01   -7.16725E-02   -1.13084E-01    3.15034E-04
    0.008810  1.44103E-01   -7.63689E-02   -1.22114E-01    1.64718E-04
    0.008930  1.03671E-01   -5.45693E-02   -8.80535E-02   -1.59185E-03
