# Mon Jul 22 14:51:12 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.001000  4.01103E-01   -1.27839E-01    3.80184E-01   -9.69577E-05
    0.001014  4.07604E-01   -1.29927E-01    3.86341E-01   -5.21040E-05
    0.001027  4.44647E-01   -1.41618E-01    4.21491E-01    2.16956E-04
    0.001041  5.84946E-01   -1.86397E-01    5.54452E-01   -1.07127E-04
    0.001055  4.53878E-01   -1.44593E-01    4.30230E-01    2.04113E-04
    0.001069  5.46325E-01   -1.74121E-01    5.17833E-01    8.45591E-06
    0.001084  3.95771E-01   -1.26014E-01    3.75171E-01   -1.81642E-04
    0.001099  3.45022E-01   -1.09889E-01    3.27054E-01   -1.68347E-04
    0.001113  3.03250E-01   -9.66552E-02    2.87433E-01   -1.47675E-04
    0.001128  4.54303E-01   -1.44947E-01    4.30558E-01   -2.53969E-04
    0.001144  5.26020E-01   -1.67670E-01    4.98580E-01    6.67374E-05
    0.001159  4.81638E-01   -1.53504E-01    4.56520E-01   -4.29685E-04
    0.001175  4.91985E-01   -1.56822E-01    4.66320E-01   -9.88533E-05
    0.001191  6.02073E-01   -1.91971E-01    5.70647E-01   -4.50372E-04
    0.001207  5.11822E-01   -1.63140E-01    4.85125E-01    4.54928E-04
    0.001223  5.43274E-01   -1.73074E-01    5.14966E-01    2.90961E-04
    0.001240  3.81327E-01   -1.21604E-01    3.61416E-01    5.44983E-04
    0.001257  5.50473E-01   -1.75569E-01    5.21722E-01   -3.66653E-04
    0.001274  5.98522E-01   -1.90876E-01    5.67267E-01   -1.60162E-04
    0.001291  4.90928E-01   -1.56438E-01    4.65333E-01    6.37568E-04
    0.001308  6.19492E-01   -1.97506E-01    5.87162E-01    2.28258E-04
    0.001326  5.08415E-01   -1.62091E-01    4.81882E-01   -2.75270E-04
