# Mon Jul 22 14:51:13 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.002459  2.77219E-02   -5.50467E-05   -2.77215E-02   -2.26137E-05
    0.002493  2.75656E-02   -2.43300E-05   -2.75652E-02   -4.42446E-05
    0.002526  2.92889E-02   -1.02469E-04   -2.92883E-02    3.00993E-06
    0.002561  3.18905E-02   -7.28822E-05   -3.18900E-02    9.89356E-06
    0.002595  2.98478E-02   -6.56077E-05   -2.98473E-02    2.36760E-05
    0.002630  2.97287E-02   -8.56850E-05   -2.97282E-02   -3.09374E-05
    0.002666  3.66928E-02   -1.07326E-04   -3.66923E-02   -1.72610E-05
    0.002702  3.29273E-02   -8.88153E-05   -3.29268E-02    5.71074E-05
    0.002738  2.77344E-02   -3.87133E-05   -2.77340E-02   -1.85776E-05
    0.002775  3.17337E-02   -9.51102E-05   -3.17332E-02   -1.82812E-05
    0.002813  3.04578E-02   -3.72960E-05   -3.04574E-02   -1.14752E-05
    0.002851  2.99843E-02   -6.40710E-05   -2.99838E-02   -4.25266E-05
    0.002890  4.04415E-02   -6.46775E-05   -4.04410E-02    3.55418E-05
    0.002929  3.93631E-02   -1.66883E-04   -3.93624E-02   -2.40238E-05
    0.002968  4.06568E-02   -6.72897E-05   -4.06564E-02   -3.40391E-05
    0.003008  3.55539E-02   -3.09365E-05   -3.55535E-02   -9.97653E-07
    0.003049  3.81921E-02   -8.18019E-05   -3.81916E-02   -1.92138E-05
    0.003090  4.18213E-02   -7.91782E-05   -4.18208E-02   -2.07810E-05
    0.003132  3.89436E-02   -7.33070E-05   -3.89431E-02   -2.91202E-05
    0.003174  3.84264E-02   -1.46954E-04   -3.84257E-02   -3.18871E-06
    0.003217  3.41468E-02   -1.14288E-04   -3.41462E-02    3.85596E-05
    0.003261  3.82032E-02   -8.64771E-05   -3.82027E-02    6.88581E-06
    0.003305  3.62204E-02   -9.63699E-05   -3.62199E-02   -1.82346E-05
    0.003350  4.29446E-02   -1.19716E-04   -4.29440E-02    2.07892E-05
    0.003395  3.80646E-02   -1.15895E-04   -3.80641E-02    4.65664E-06
    0.003441  3.73295E-02   -1.27122E-04   -3.73289E-02   -2.84495E-05
    0.003487  3.94909E-02   -7.96899E-05   -3.94904E-02   -3.59550E-05
    0.003535  4.07942E-02   -8.25687E-05   -4.07938E-02    2.74309E-05
    0.003582  4.32913E-02   -1.09568E-04   -4.32908E-02   -2.90610E-05
    0.003631  3.94521E-02   -9.31245E-05   -3.94516E-02   -2.30303E-05
    0.003680  4.19143E-02   -1.02260E-04   -4.19139E-02   -3.90101E-05
    0.003730  3.86523E-02   -9.23427E-05   -3.86518E-02   -3.86108E-06
    0.003780  4.38800E-02   -1.08842E-04   -4.38796E-02   -1.52944E-05
    0.003831  4.57466E-02   -1.01222E-04   -4.57461E-02    1.98256E-05
    0.003883  4.65536E-02   -1.17304E-04   -4.65532E-02    5.29244E-05
    0.003936  5.17252E-02   -1.60362E-04   -5.17246E-02   -2.09886E-05
    0.003989  5.21137E-02   -1.11265E-04   -5.21133E-02    1.13529E-05
    0.004043  4.55958E-02   -1.04389E-04   -4.55956E-02    7.37263E-06
    0.004097  3.52128E-02   -6.45659E-05   -3.52127E-02    1.01080E-05
    0.004153  3.88713E-02   -9.47493E-05   -3.88710E-02    1.05470E-06
    0.004209  4.93113E-02   -1.25284E-04   -4.93109E-02    1.03407E-06
    0.004266  1.65579E-02   -4.34934E-05   -1.65578E-02    4.90845E-06
    0.004323  4.64383E-02   -1.40749E-04   -4.64380E-02   -5.02249E-06
    0.004382  2.37055E-02   -6.13562E-05   -2.37040E-02   -6.27909E-06
    0.004441  2.11753E-04   -5.29613E-07   -2.11751E-04   -7.68337E-08
    0.004501  3.47883E-03   -8.51204E-06   -3.47879E-03   -1.63048E-06
    0.004562  7.52666E-03   -2.81411E-05   -7.52644E-03    2.40081E-05
    0.004624  7.99631E-03   -2.66685E-05   -7.99581E-03    1.14840E-05
    0.004686  1.40821E-02   -5.51900E-05   -1.40811E-02   -1.93416E-05
    0.004750  1.68798E-02   -3.57026E-05   -1.68784E-02    5.32038E-05
    0.004814  2.08229E-02    1.75483E-05   -2.08210E-02    2.54812E-05
    0.004879  3.11859E-02    3.78401E-05   -3.11835E-02    8.43261E-05
    0.004945  4.13476E-02   -2.07710E-04   -4.13439E-02   -1.36294E-04
    0.005012  3.10032E-02   -4.25154E-06   -3.09991E-02   -3.01374E-05
    0.005080  5.55034E-02   -3.65028E-05   -5.54985E-02    2.76206E-04
    0.005148  3.64047E-02   -1.37060E-04   -3.63984E-02    9.28599E-05
    0.005218  3.64363E-02   -2.56575E-04   -3.64286E-02    9.74320E-05
    0.005289  4.80049E-02   -1.41934E-04   -4.79963E-02   -5.20267E-05
    0.005360  4.67985E-02    7.86354E-05   -4.67892E-02   -1.03149E-04
    0.005433  7.00835E-02   -2.58457E-04   -7.00721E-02   -3.14701E-05
    0.005506  4.70895E-02   -4.99289E-04   -4.70761E-02   -2.66865E-04
    0.005580  6.15786E-02   -8.75309E-05   -6.15648E-02   -4.57455E-04
    0.005656  4.59543E-02   -3.19440E-05   -4.59391E-02    2.97059E-04
    0.005732  7.14319E-02   -3.62175E-04   -7.14144E-02   -1.71077E-04
    0.005810  8.12061E-02   -1.27014E-05   -8.11877E-02    7.78408E-05
    0.005888  7.60991E-02   -7.07923E-06   -7.60787E-02    7.20815E-04
    0.005968  5.42619E-02   -6.55868E-04   -5.42378E-02   -8.96739E-05
    0.006049  3.26430E-02    1.44745E-04   -3.26186E-02    3.44557E-04
    0.006131  8.04560E-02   -5.60724E-04   -8.04280E-02   -3.26573E-04
    0.006213  5.73282E-02    2.36290E-04   -5.73000E-02    4.31069E-04
    0.006297  7.13157E-02   -2.85213E-04   -7.12841E-02    4.88332E-04
    0.006383  7.44262E-02   -8.38422E-04   -7.43908E-02   -2.07700E-04
    0.006469  6.58874E-02   -2.64269E-04   -6.58504E-02    4.58282E-05
    0.006556  7.09980E-02   -4.48129E-05   -7.09586E-02   -2.63904E-04
    0.006645  9.11772E-02    6.23839E-04   -9.11363E-02    5.71027E-04
    0.006735  1.26536E-01   -1.32069E-03   -1.26488E-01   -7.30200E-04
    0.006826  7.50399E-02    3.52872E-04   -7.49923E-02   -1.33642E-04
    0.006918  1.17935E-01    1.05578E-03   -1.17886E-01    6.56585E-04
    0.007012  1.03418E-01   -1.88823E-04   -1.03363E-01    1.11210E-03
    0.007107  9.16276E-02   -8.90101E-04   -9.15665E-02    1.68300E-04
    0.007203  9.14039E-02   -1.59511E-04   -9.13402E-02   -1.38769E-03
    0.007300  1.05716E-01   -1.64483E-05   -1.05648E-01    2.21388E-04
    0.007399  9.50323E-02   -1.48331E-03   -9.49563E-02   -6.22943E-04
    0.007499  7.87843E-02    8.40096E-05   -7.87076E-02   -9.87941E-04
    0.007600  9.72021E-02    2.07569E-04   -9.71208E-02   -1.88714E-03
    0.007703  8.10560E-02    6.22210E-05   -8.09694E-02    2.93542E-04
    0.007807  9.76132E-02   -6.03715E-04   -9.75202E-02    1.05136E-03
    0.007913  1.17934E-01   -5.00339E-04   -1.17836E-01    5.29834E-04
    0.008020  1.15265E-01   -8.24960E-04   -1.15160E-01    1.54707E-03
    0.008128  1.11092E-01   -1.00845E-03   -1.10980E-01   -1.61334E-03
    0.008238  1.14187E-01   -1.34362E-03   -1.14068E-01    8.06310E-04
    0.008350  1.23018E-01    6.22398E-04   -1.22898E-01   -4.46213E-04
    0.008463  1.49485E-01    1.51481E-03   -1.49360E-01   -2.99239E-04
    0.008577  1.17954E-01    1.25674E-03   -1.17822E-01    3.69797E-04
    0.008693  1.20954E-01   -7.13700E-04   -1.20810E-01    7.78275E-04
    0.008810  1.12122E-01   -2.50382E-03   -1.11967E-01   -6.55297E-04
    0.008930  1.23643E-01   -1.58957E-03   -1.23483E-01   -3.08392E-04
    0.009050  1.33829E-01   -7.04476E-04   -1.33665E-01    1.06629E-03
    0.009173  1.40318E-01   -4.63296E-04   -1.40147E-01   -3.62897E-03
    0.009297  1.07621E-01   -1.63890E-03   -1.07439E-01   -8.37588E-04
    0.009423  1.17581E-01    5.95655E-05   -1.17396E-01    9.78551E-04
    0.009550  1.37037E-01    3.65668E-04   -1.36847E-01    1.90622E-03
    0.009679  1.51878E-01   -5.99140E-04   -1.51679E-01    1.38588E-03
    0.009810  1.30568E-01    6.37732E-04   -1.30366E-01    1.89549E-03
    0.009943  1.54840E-01   -1.82938E-03   -1.54627E-01   -2.29229E-03
    0.010077  1.33019E-01   -2.53710E-03   -1.32799E-01    4.92658E-04
    0.010213  1.33178E-01    2.26384E-03   -1.32965E-01    5.11736E-04
    0.010351  1.77839E-01    1.59107E-03   -1.77620E-01   -1.80906E-03
    0.010491  1.35373E-01    1.18957E-03   -1.35150E-01   -8.39160E-04
    0.010633  1.61427E-01   -4.64380E-04   -1.61198E-01    1.28158E-03
    0.010777  1.35461E-01   -1.33350E-03   -1.35228E-01   -8.47623E-04
    0.010923  1.58044E-01   -3.42610E-03   -1.57806E-01    7.53064E-04
    0.011071  1.48541E-01    4.61045E-04   -1.48313E-01    1.65556E-03
    0.011220  1.70941E-01   -4.42075E-04   -1.70712E-01   -4.66472E-03
    0.011372  1.54092E-01   -2.60022E-03   -1.53860E-01   -7.79392E-05
    0.011526  1.50281E-01   -2.13884E-04   -1.50059E-01   -1.09812E-04
    0.011681  1.69183E-01    7.55640E-04   -1.68969E-01    1.44466E-03
    0.011839  1.73248E-01   -1.35671E-03   -1.73035E-01    4.13301E-04
    0.012000  1.54619E-01    3.86059E-04   -1.54417E-01    2.33191E-03
    0.012162  1.90181E-01    6.57320E-04   -1.89987E-01   -1.56922E-03
    0.012326  1.83960E-01   -4.24260E-03   -1.83760E-01   -5.33877E-04
    0.012493  1.61308E-01    1.30168E-03   -1.61130E-01    2.28474E-03
    0.012662  1.92898E-01   -3.64076E-04   -1.92725E-01   -1.30773E-03
    0.012833  1.79893E-01    1.33875E-03   -1.79733E-01   -1.72534E-04
    0.013007  2.04534E-01   -1.43317E-03   -2.04377E-01    6.84166E-04
    0.013183  1.64758E-01    1.01476E-03   -1.64617E-01   -6.37050E-04
    0.013361  2.08459E-01   -1.13956E-03   -2.08323E-01   -1.01295E-03
    0.013542  2.00825E-01   -1.93597E-03   -2.00696E-01    2.07463E-03
    0.013725  1.90392E-01    2.14309E-03   -1.90282E-01   -1.07021E-03
    0.013910  2.12357E-01   -2.12440E-03   -2.12246E-01   -4.70037E-04
    0.014098  2.03036E-01    6.33890E-04   -2.02941E-01   -8.95091E-04
    0.014289  2.26557E-01   -9.39617E-04   -2.26466E-01    1.38964E-03
    0.014482  1.93696E-01   -6.13002E-04   -1.93613E-01   -1.42100E-03
    0.014678  2.22639E-01   -5.23663E-04   -2.22564E-01    6.72161E-05
    0.014876  2.34129E-01   -4.89097E-04   -2.34061E-01    1.48259E-03
    0.015078  2.24180E-01    7.26234E-05   -2.24121E-01   -1.70601E-03
    0.015282  2.33728E-01   -1.62707E-03   -2.33670E-01    7.20160E-04
    0.015488  2.38211E-01    1.29300E-04   -2.38162E-01   -1.01432E-03
