# Mon Jul 22 14:51:11 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.001000  6.21525E+00   -5.19078E-01    6.19353E+00   -2.50950E-03
    0.001014  4.32237E+00   -3.61093E-01    4.30725E+00   -2.40763E-03
    0.001027  5.55951E+00   -4.63250E-01    5.54017E+00   -4.43827E-03
    0.001041  6.62579E+00   -5.53756E-01    6.60259E+00   -4.76460E-03
    0.001055  5.37720E+00   -4.49116E-01    5.35841E+00   -4.26537E-03
    0.001069  6.10827E+00   -5.10017E-01    6.08693E+00   -3.73669E-03
    0.001084  5.96580E+00   -5.00836E-01    5.94473E+00    1.12782E-03
    0.001099  8.18161E+00   -6.86301E-01    8.15276E+00    7.34941E-04
    0.001113  5.68856E+00   -4.76446E-01    5.66856E+00    1.18395E-03
    0.001128  1.01863E+01   -8.53717E-01    1.01504E+01   -3.39169E-03
    0.001144  6.85582E+00   -5.75702E-01    6.83159E+00   -9.99905E-04
    0.001159  6.49191E+00   -5.45253E-01    6.46896E+00    2.29688E-03
    0.001175  8.30534E+00   -6.97783E-01    8.27595E+00   -3.75210E-04
    0.001191  6.91175E+00   -5.80573E-01    6.88731E+00   -4.11997E-03
    0.001207  8.60799E+00   -7.21399E-01    8.57768E+00   -6.28700E-03
    0.001223  6.58860E+00   -5.51499E-01    6.56545E+00    1.69945E-03
    0.001240  7.06207E+00   -5.92582E-01    7.03714E+00   -6.44495E-03
    0.001257  5.35051E+00   -4.48765E-01    5.33163E+00    5.67048E-03
    0.001274  9.64593E+00   -8.11004E-01    9.61173E+00   -3.79380E-03
    0.001291  8.23526E+00   -6.91570E-01    8.20612E+00   -8.98328E-03
    0.001308  7.23312E+00   -6.08134E-01    7.20746E+00   -3.31931E-03
    0.001326  1.00566E+01   -8.47793E-01    1.00208E+01    1.70840E-03
    0.001344  8.92798E+00   -7.52129E-01    8.89619E+00    1.07997E-02
    0.001362  7.66993E+00   -6.45352E-01    7.64267E+00   -6.74571E-03
    0.001380  1.12132E+01   -9.47465E-01    1.11730E+01   -2.33887E-06
    0.001399  9.04233E+00   -7.61027E-01    9.01017E+00   -9.93291E-03
    0.001418  8.92600E+00   -7.52260E-01    8.89417E+00    7.79747E-03
    0.001437  1.29000E+01   -1.09062E+00    1.28537E+01    4.34712E-03
    0.001457  1.25966E+01   -1.06467E+00    1.25514E+01   -5.35325E-03
    0.001476  9.51919E+00   -8.02891E-01    9.48519E+00   -8.41732E-04
    0.001496  5.13787E+00   -4.31894E-01    5.11955E+00   -1.46099E-02
    0.001516  1.39609E+01   -1.18419E+00    1.39105E+01   -9.65377E-03
    0.001537  9.04180E+00   -7.64887E-01    9.00927E+00   -3.89207E-03
    0.001558  1.22785E+01   -1.04272E+00    1.22340E+01   -2.31340E-03
    0.001579  1.08407E+01   -9.16026E-01    1.08018E+01   -9.18995E-03
    0.001600  1.06374E+01   -8.97817E-01    1.05994E+01    7.36476E-03
    0.001622  1.21083E+01   -1.02543E+00    1.20647E+01    1.03953E-02
    0.001644  1.24274E+01   -1.05380E+00    1.23825E+01   -1.00272E-02
    0.001666  1.88302E+01   -1.60819E+00    1.87613E+01   -2.84137E-02
    0.001689  1.42107E+01   -1.20565E+00    1.41593E+01    2.26450E-02
    0.001711  1.87063E+01   -1.59181E+00    1.86383E+01   -8.07442E-03
    0.001734  1.36064E+01   -1.15875E+00    1.35568E+01   -4.55757E-03
    0.001758  1.45251E+01   -1.23657E+00    1.44722E+01   -4.34220E-03
    0.001782  1.31250E+01   -1.11193E+00    1.30776E+01    5.11724E-04
    0.001806  1.35721E+01   -1.15177E+00    1.35228E+01   -3.93963E-03
    0.001830  2.15940E+01   -1.84096E+00    2.15152E+01    5.89546E-03
