# Mon Jul 22 14:51:12 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.001000  7.05343E-03   -2.09391E-04   -7.05031E-03   -1.24077E-06
    0.001014  7.46687E-03   -2.23498E-04   -7.46352E-03   -1.87315E-06
    0.001027  9.91839E-03   -2.99434E-04   -9.91387E-03   -4.70046E-08
    0.001041  8.82191E-03   -2.66089E-04   -8.81789E-03   -7.51052E-07
    0.001055  9.02905E-03   -2.73153E-04   -9.02490E-03   -1.60742E-06
    0.001069  1.14802E-02   -3.41238E-04   -1.14751E-02   -2.81542E-06
    0.001084  1.26076E-02   -3.78353E-04   -1.26020E-02   -4.15102E-06
    0.001099  9.97832E-03   -3.04360E-04   -9.97367E-03   -9.01289E-07
    0.001113  1.18144E-02   -3.54235E-04   -1.18091E-02   -7.54596E-07
    0.001128  9.70089E-03   -2.94832E-04   -9.69641E-03    3.26819E-06
    0.001144  1.14774E-02   -3.48688E-04   -1.14721E-02   -2.38406E-06
    0.001159  1.39533E-02   -4.12654E-04   -1.39472E-02    3.44223E-06
    0.001175  9.80594E-03   -2.93309E-04   -9.80155E-03    4.54275E-06
    0.001191  1.45396E-02   -4.41122E-04   -1.45329E-02   -1.35452E-06
    0.001207  1.14374E-02   -3.46659E-04   -1.14321E-02    9.37191E-07
    0.001223  7.01253E-03   -2.12221E-04   -7.00930E-03   -1.47616E-06
    0.001240  1.12437E-02   -3.36419E-04   -1.12387E-02    1.54160E-06
    0.001257  1.29675E-02   -3.94797E-04   -1.29615E-02    6.09532E-07
    0.001274  1.39850E-02   -4.17032E-04   -1.39788E-02   -9.06894E-07
    0.001291  1.66268E-02   -5.05294E-04   -1.66191E-02   -3.77015E-06
    0.001308  9.50294E-03   -2.86314E-04   -9.49861E-03    7.60250E-07
    0.001326  2.01857E-02   -6.02384E-04   -2.01767E-02    3.02090E-06
    0.001344  1.24068E-02   -3.73920E-04   -1.24012E-02    1.25488E-06
    0.001362  1.30031E-02   -3.88192E-04   -1.29973E-02    6.85580E-06
    0.001380  1.10583E-02   -3.36533E-04   -1.10532E-02   -1.11785E-06
    0.001399  9.80971E-03   -2.97596E-04   -9.80517E-03    5.52860E-06
    0.001418  1.50341E-02   -4.51674E-04   -1.50273E-02   -2.31840E-06
    0.001437  1.58262E-02   -4.73757E-04   -1.58191E-02   -3.92872E-06
    0.001457  1.57764E-02   -4.78573E-04   -1.57691E-02   -4.12486E-06
    0.001476  2.01410E-02   -6.07250E-04   -2.01318E-02    7.06000E-06
    0.001496  1.79822E-02   -5.35475E-04   -1.79742E-02   -7.01305E-06
    0.001516  1.90877E-02   -5.75097E-04   -1.90790E-02   -5.22333E-06
    0.001537  1.56678E-02   -4.72651E-04   -1.56606E-02   -8.27059E-06
    0.001558  1.60241E-02   -4.82822E-04   -1.60168E-02   -9.92291E-07
    0.001579  1.35184E-02   -4.17362E-04   -1.35120E-02   -1.03202E-06
    0.001600  1.80284E-02   -5.34169E-04   -1.80205E-02   -1.94832E-05
    0.001622  2.34559E-02   -6.99186E-04   -2.34454E-02   -8.65479E-06
    0.001644  1.62884E-02   -4.92392E-04   -1.62809E-02   -8.54000E-06
    0.001666  2.72181E-02   -8.42571E-04   -2.72050E-02   -1.82933E-06
    0.001689  1.16684E-02   -3.44256E-04   -1.16632E-02    2.74123E-06
    0.001711  1.89099E-02   -5.53752E-04   -1.89018E-02    4.93906E-06
    0.001734  2.05304E-02   -6.12028E-04   -2.05212E-02    8.49769E-07
    0.001758  3.15477E-02   -9.44173E-04   -3.15335E-02    1.85990E-05
    0.001782  2.07436E-02   -6.22774E-04   -2.07342E-02    1.00670E-06
    0.001806  1.96284E-02   -5.74598E-04   -1.96200E-02    4.27335E-07
    0.001830  2.04379E-02   -6.18161E-04   -2.04285E-02   -1.46650E-05
    0.001855  2.38313E-02   -7.27788E-04   -2.38202E-02   -4.75750E-06
    0.001880  2.10565E-02   -6.13788E-04   -2.10475E-02    2.00390E-05
    0.001905  2.06351E-02   -6.20566E-04   -2.06257E-02   -1.30421E-05
    0.001931  2.03327E-02   -6.13713E-04   -2.03234E-02   -7.56585E-07
    0.001957  2.30294E-02   -7.08600E-04   -2.30184E-02    1.12579E-06
    0.001984  2.48030E-02   -7.34816E-04   -2.47921E-02    8.44042E-06
    0.002011  1.41412E-02   -4.44619E-04   -1.41341E-02    1.45599E-05
    0.002038  2.64240E-02   -8.06530E-04   -2.64116E-02   -8.49294E-06
    0.002065  2.44165E-02   -7.39818E-04   -2.44053E-02   -1.26647E-05
    0.002093  2.24137E-02   -6.89759E-04   -2.24030E-02   -1.60963E-05
    0.002122  3.13375E-02   -9.43529E-04   -3.13232E-02   -2.84021E-05
    0.002150  2.64718E-02   -7.74848E-04   -2.64604E-02   -1.86170E-05
    0.002179  2.27542E-02   -6.85760E-04   -2.27438E-02   -2.53060E-05
    0.002209  2.12477E-02   -6.60683E-04   -2.12373E-02    9.71383E-06
    0.002239  1.90748E-02   -5.81868E-04   -1.90658E-02    6.69682E-06
    0.002269  2.26337E-02   -7.05163E-04   -2.26226E-02    4.31271E-06
    0.002300  1.75270E-02   -5.12152E-04   -1.75194E-02   -3.71874E-07
    0.002331  3.30620E-02   -9.81028E-04   -3.30473E-02    3.67576E-06
    0.002362  3.29962E-02   -1.01162E-03   -3.29806E-02    3.58167E-06
    0.002394  3.57811E-02   -1.04338E-03   -3.57657E-02    1.52949E-05
    0.002427  2.69727E-02   -8.39117E-04   -2.69596E-02   -1.28978E-05
    0.002459  3.07842E-02   -9.16189E-04   -3.07704E-02   -1.40536E-05
    0.002493  3.37354E-02   -1.02343E-03   -3.37198E-02   -9.87660E-06
    0.002526  3.22987E-02   -9.60741E-04   -3.22843E-02   -3.19220E-06
    0.002561  2.90505E-02   -9.00363E-04   -2.90365E-02    5.35896E-06
    0.002595  2.52306E-02   -7.62616E-04   -2.52189E-02   -1.44687E-05
    0.002630  3.10511E-02   -9.43193E-04   -3.10366E-02   -3.06505E-06
    0.002666  3.44344E-02   -1.03968E-03   -3.44186E-02    2.90473E-05
    0.002702  3.59657E-02   -1.08892E-03   -3.59490E-02   -4.40350E-06
    0.002738  3.03025E-02   -9.17076E-04   -3.02884E-02   -1.48747E-05
    0.002775  3.10128E-02   -9.63466E-04   -3.09977E-02   -6.83619E-06
    0.002813  3.38925E-02   -1.02474E-03   -3.38768E-02    1.67608E-05
    0.002851  3.35795E-02   -9.87160E-04   -3.35649E-02    4.31496E-06
    0.002890  3.51922E-02   -1.10668E-03   -3.51747E-02   -1.74318E-05
    0.002929  3.56507E-02   -1.06251E-03   -3.56348E-02   -1.41848E-05
    0.002968  3.72841E-02   -1.11965E-03   -3.72672E-02    1.82233E-06
    0.003008  3.42738E-02   -1.04591E-03   -3.42577E-02   -1.23775E-05
    0.003049  3.59833E-02   -1.10173E-03   -3.59662E-02   -1.13814E-05
    0.003090  3.80837E-02   -1.15088E-03   -3.80662E-02    3.28104E-06
    0.003132  3.74789E-02   -1.12531E-03   -3.74619E-02   -3.51256E-06
    0.003174  3.62808E-02   -1.10502E-03   -3.62639E-02   -2.48807E-05
    0.003217  3.39027E-02   -1.04514E-03   -3.38864E-02   -1.03008E-05
    0.003261  4.01132E-02   -1.22438E-03   -4.00944E-02   -2.69510E-05
    0.003305  3.76033E-02   -1.15229E-03   -3.75856E-02   -2.30286E-05
    0.003350  3.78289E-02   -1.13799E-03   -3.78116E-02    3.28884E-05
    0.003395  3.78015E-02   -1.12227E-03   -3.77847E-02    3.01430E-05
    0.003441  3.80538E-02   -1.16044E-03   -3.80359E-02    5.24270E-06
    0.003487  3.89269E-02   -1.16790E-03   -3.89092E-02    7.11467E-06
    0.003535  4.24493E-02   -1.28159E-03   -4.24299E-02    1.43218E-05
    0.003582  4.30640E-02   -1.31499E-03   -4.30438E-02    9.39858E-06
    0.003631  4.31724E-02   -1.29044E-03   -4.31531E-02    2.73415E-06
    0.003680  4.14906E-02   -1.25640E-03   -4.14714E-02    5.75301E-06
    0.003730  4.21845E-02   -1.26988E-03   -4.21652E-02   -1.95762E-05
    0.003780  4.45761E-02   -1.37200E-03   -4.45548E-02   -2.20948E-05
    0.003831  4.44196E-02   -1.32428E-03   -4.43997E-02   -1.77921E-05
    0.003883  4.59670E-02   -1.41453E-03   -4.59451E-02   -1.77332E-06
    0.003936  5.25100E-02   -1.58516E-03   -5.24859E-02   -7.01993E-06
    0.003989  5.66812E-02   -1.71001E-03   -5.66554E-02   -5.44851E-06
    0.004043  4.60845E-02   -1.39474E-03   -4.60633E-02    2.19727E-06
    0.004097  3.68049E-02   -1.11198E-03   -3.67881E-02   -2.08227E-06
    0.004153  3.91623E-02   -1.18935E-03   -3.91442E-02    3.51758E-06
    0.004209  4.96973E-02   -1.50106E-03   -4.96746E-02   -1.73539E-05
    0.004266  1.59181E-02   -4.73946E-04   -1.59111E-02    9.55209E-07
    0.004323  4.58565E-02   -1.38082E-03   -4.58357E-02   -1.80198E-05
    0.004382  3.42236E-02   -1.03861E-03   -3.42073E-02   -3.04503E-05
