# Mon Jul 22 14:51:12 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.001000  4.51891E-02   -2.79929E-02    3.54745E-02   -4.10484E-05
    0.001014  9.80115E-02   -6.07329E-02    7.69268E-02   -3.64408E-05
    0.001027  1.00759E-01   -6.24701E-02    7.90553E-02   -4.36329E-05
    0.001041  9.27880E-02   -5.75374E-02    7.27944E-02    7.53654E-05
    0.001055  7.41639E-02   -4.59680E-02    5.81995E-02    1.81011E-05
    0.001069  1.16206E-01   -7.20640E-02    9.11619E-02    3.93073E-05
    0.001084  1.07409E-01   -6.65606E-02    8.42991E-02    8.22544E-05
    0.001099  9.39910E-02   -5.82814E-02    7.37397E-02   -6.07467E-05
    0.001113  9.39946E-02   -5.82655E-02    7.37566E-02   -5.48318E-05
    0.001128  1.27504E-01   -7.90690E-02    1.00027E-01    9.68613E-05
    0.001144  1.33366E-01   -8.26692E-02    1.04653E-01   -1.15984E-04
    0.001159  1.17656E-01   -7.29482E-02    9.23115E-02   -1.59970E-05
    0.001175  1.26570E-01   -7.85075E-02    9.92801E-02   -1.16978E-04
    0.001191  8.44368E-02   -5.23688E-02    6.62343E-02    1.00172E-05
    0.001207  8.19423E-02   -5.07940E-02    6.42994E-02   -1.92989E-06
    0.001223  9.66390E-02   -5.99360E-02    7.58068E-02   -3.91691E-05
