# Copy of file TRUSTdust/IntegratedQuantites/ZDA_BARE_GR_S_Effective.dat
# downloaded from http://ipag.osug.fr/RT13/RTTRUST/opa.php on Jan 14, 2014
#
# Size integrated, component summed effective quantities for ZDA BARE-GR-S
#                        (see, e.g. Eqs. 9 of Steinacker et al 2013 ARAA)
#   lam         Cabs          Csca        Tau
#   [um]       [cm^2]        [cm^2]      [/N_H]           a           g
#-----------------------------------------------------------------------------
    0.00212 2.070420e-16 1.647560e-16 2.083760e-22   4.4313e-01  9.99382e-01
    0.00215 2.128050e-16 1.674240e-16 2.131010e-22   4.4032e-01  9.99364e-01
    0.00218 2.197960e-16 1.724010e-16 2.198080e-22   4.3958e-01  9.99346e-01
    0.00221 2.426080e-16 1.783180e-16 2.359100e-22   4.2363e-01  9.99310e-01
    0.00224 2.707660e-16 1.590120e-16 2.408710e-22   3.6999e-01  9.99262e-01
    0.00227 2.887960e-16 1.639600e-16 2.537490e-22   3.6214e-01  9.99228e-01
    0.00230 3.323000e-16 1.727780e-16 2.830730e-22   3.4208e-01  9.99160e-01
    0.00233 1.702760e-16 1.221380e-16 1.638840e-22   4.1769e-01  9.99245e-01
    0.00236 1.581320e-16 1.538240e-16 1.748370e-22   4.9309e-01  9.99288e-01
    0.00239 1.628690e-16 1.696360e-16 1.863530e-22   5.1018e-01  9.99285e-01
    0.00243 1.676230e-16 1.799340e-16 1.947890e-22   5.1771e-01  9.99273e-01
    0.00246 1.722810e-16 1.902240e-16 2.031670e-22   5.2475e-01  9.99260e-01
    0.00249 1.773510e-16 1.991720e-16 2.110240e-22   5.2898e-01  9.99245e-01
    0.00253 1.830960e-16 2.060070e-16 2.180740e-22   5.2944e-01  9.99226e-01
    0.00256 1.887170e-16 2.127550e-16 2.250070e-22   5.2994e-01  9.99207e-01
    0.00260 1.943260e-16 2.191040e-16 2.317080e-22   5.2997e-01  9.99187e-01
    0.00263 2.000130e-16 2.247870e-16 2.380810e-22   5.2916e-01  9.99165e-01
    0.00267 2.055790e-16 2.303760e-16 2.443330e-22   5.2844e-01  9.99143e-01
    0.00270 2.110880e-16 2.358220e-16 2.504730e-22   5.2767e-01  9.99120e-01
    0.00274 2.167540e-16 2.409520e-16 2.565230e-22   5.2643e-01  9.99097e-01
    0.00278 2.230200e-16 2.458380e-16 2.627730e-22   5.2433e-01  9.99072e-01
    0.00281 2.297380e-16 2.505170e-16 2.691610e-22   5.2163e-01  9.99046e-01
    0.00285 2.366360e-16 2.550670e-16 2.755770e-22   5.1874e-01  9.99018e-01
    0.00289 2.434240e-16 2.595260e-16 2.818800e-22   5.1601e-01  9.98991e-01
    0.00293 2.500600e-16 2.639000e-16 2.880500e-22   5.1346e-01  9.98962e-01
    0.00297 2.567160e-16 2.681960e-16 2.941880e-22   5.1094e-01  9.98933e-01
    0.00301 2.634630e-16 2.724150e-16 3.003350e-22   5.0835e-01  9.98902e-01
    0.00305 2.700610e-16 2.765470e-16 3.063480e-22   5.0593e-01  9.98870e-01
    0.00309 2.765120e-16 2.805920e-16 3.122310e-22   5.0366e-01  9.98838e-01
    0.00313 2.840090e-16 2.844320e-16 3.185850e-22   5.0037e-01  9.98804e-01
    0.00317 2.916700e-16 2.881620e-16 3.249690e-22   4.9698e-01  9.98768e-01
    0.00322 2.991500e-16 2.918190e-16 3.312110e-22   4.9380e-01  9.98731e-01
    0.00326 3.064580e-16 2.954030e-16 3.373150e-22   4.9082e-01  9.98693e-01
    0.00330 3.148020e-16 2.987210e-16 3.438520e-22   4.8689e-01  9.98654e-01
    0.00335 3.229980e-16 3.019730e-16 3.502670e-22   4.8318e-01  9.98613e-01
    0.00339 3.309980e-16 3.051670e-16 3.565410e-22   4.7970e-01  9.98572e-01
    0.00344 3.388100e-16 3.083050e-16 3.626780e-22   4.7643e-01  9.98528e-01
    0.00349 3.477360e-16 3.110530e-16 3.692210e-22   4.7216e-01  9.98483e-01
    0.00353 3.565350e-16 3.137470e-16 3.756620e-22   4.6808e-01  9.98436e-01
    0.00358 3.651210e-16 3.164110e-16 3.819670e-22   4.6426e-01  9.98389e-01
    0.00363 3.735000e-16 3.190440e-16 3.881390e-22   4.6068e-01  9.98340e-01
    0.00368 3.817990e-16 3.217810e-16 3.943240e-22   4.5735e-01  9.98289e-01
    0.00373 3.899550e-16 3.245380e-16 4.004400e-22   4.5422e-01  9.98236e-01
    0.00378 3.988530e-16 3.280780e-16 4.074110e-22   4.5132e-01  9.98177e-01
    0.00383 4.086360e-16 3.325310e-16 4.153900e-22   4.4866e-01  9.98110e-01
    0.00388 4.223260e-16 3.374200e-16 4.258030e-22   4.4412e-01  9.98030e-01
    0.00394 4.559060e-16 3.451850e-16 4.489740e-22   4.3089e-01  9.97887e-01
    0.00399 4.972840e-16 3.454810e-16 4.723310e-22   4.0994e-01  9.97755e-01
    0.00404 5.103100e-16 3.333490e-16 4.728320e-22   3.9512e-01  9.97765e-01
    0.00410 4.794390e-16 3.219580e-16 4.491460e-22   4.0175e-01  9.97845e-01
    0.00415 4.798990e-16 3.309920e-16 4.544670e-22   4.0818e-01  9.97757e-01
    0.00421 5.461690e-16 3.412120e-16 4.973360e-22   3.8452e-01  9.97523e-01
    0.00427 4.264610e-16 2.988950e-16 4.065290e-22   4.1207e-01  9.97833e-01
    0.00432 5.292650e-16 3.434260e-16 4.891030e-22   3.9353e-01  9.97455e-01
    0.00438 2.369820e-16 3.141340e-16 3.088750e-22   5.7000e-01  9.97818e-01
    0.00444 2.367080e-16 2.737000e-16 2.860600e-22   5.3624e-01  9.97660e-01
    0.00450 2.422350e-16 2.810020e-16 2.932500e-22   5.3705e-01  9.97589e-01
    0.00456 2.476670e-16 2.913820e-16 3.021120e-22   5.4055e-01  9.97525e-01
    0.00462 2.532560e-16 3.015360e-16 3.109360e-22   5.4351e-01  9.97459e-01
    0.00469 2.589700e-16 3.107720e-16 3.193140e-22   5.4546e-01  9.97387e-01
    0.00475 2.645370e-16 3.207640e-16 3.280340e-22   5.4803e-01  9.97315e-01
    0.00481 2.704750e-16 3.288900e-16 3.359170e-22   5.4873e-01  9.97235e-01
    0.00488 2.764710e-16 3.361920e-16 3.433690e-22   5.4874e-01  9.97152e-01
    0.00495 2.823120e-16 3.436390e-16 3.508170e-22   5.4899e-01  9.97069e-01
    0.00501 2.884610e-16 3.512720e-16 3.585410e-22   5.4909e-01  9.96982e-01
    0.00508 2.945720e-16 3.590210e-16 3.663090e-22   5.4930e-01  9.96893e-01
    0.00515 3.005240e-16 3.668420e-16 3.740280e-22   5.4969e-01  9.96802e-01
    0.00522 3.069650e-16 3.733790e-16 3.813010e-22   5.4881e-01  9.96706e-01
    0.00529 3.134540e-16 3.794710e-16 3.883520e-22   5.4764e-01  9.96606e-01
    0.00536 3.197740e-16 3.855600e-16 3.953070e-22   5.4663e-01  9.96505e-01
    0.00543 3.263040e-16 3.915880e-16 4.023460e-22   5.4547e-01  9.96402e-01
    0.00551 3.329330e-16 3.975680e-16 4.094120e-22   5.4424e-01  9.96296e-01
    0.00558 3.393880e-16 4.035270e-16 4.163700e-22   5.4317e-01  9.96187e-01
    0.00566 3.459440e-16 4.093960e-16 4.233330e-22   5.4200e-01  9.96076e-01
    0.00573 3.530580e-16 4.150580e-16 4.304940e-22   5.4036e-01  9.95957e-01
    0.00581 3.599850e-16 4.206790e-16 4.375260e-22   5.3887e-01  9.95835e-01
    0.00589 3.667330e-16 4.262510e-16 4.444310e-22   5.3753e-01  9.95712e-01
    0.00597 3.738500e-16 4.316020e-16 4.514190e-22   5.3585e-01  9.95584e-01
    0.00605 3.809110e-16 4.368690e-16 4.583280e-22   5.3421e-01  9.95453e-01
    0.00613 3.877880e-16 4.420880e-16 4.651070e-22   5.3272e-01  9.95322e-01
    0.00621 3.946290e-16 4.472600e-16 4.718400e-22   5.3126e-01  9.95187e-01
    0.00630 4.019700e-16 4.523960e-16 4.788320e-22   5.2951e-01  9.95047e-01
    0.00638 4.091740e-16 4.575140e-16 4.857390e-22   5.2789e-01  9.94903e-01
    0.00647 4.163240e-16 4.626670e-16 4.926340e-22   5.2636e-01  9.94754e-01
    0.00656 4.235680e-16 4.677790e-16 4.995590e-22   5.2480e-01  9.94600e-01
    0.00665 4.311280e-16 4.728720e-16 5.066500e-22   5.2309e-01  9.94442e-01
    0.00673 4.388440e-16 4.778780e-16 5.137810e-22   5.2129e-01  9.94279e-01
    0.00683 4.469550e-16 4.827910e-16 5.210790e-22   5.1927e-01  9.94107e-01
    0.00692 4.552980e-16 4.876710e-16 5.284900e-22   5.1717e-01  9.93928e-01
    0.00701 4.651690e-16 4.919270e-16 5.364080e-22   5.1398e-01  9.93739e-01
    0.00711 4.749800e-16 4.946600e-16 5.434380e-22   5.1015e-01  9.93569e-01
    0.00720 4.812680e-16 4.987930e-16 5.492790e-22   5.0894e-01  9.93413e-01
    0.00730 4.867940e-16 5.029700e-16 5.547160e-22   5.0817e-01  9.93260e-01
    0.00740 4.941130e-16 5.093390e-16 5.623890e-22   5.0759e-01  9.93048e-01
    0.00750 5.050720e-16 5.135650e-16 5.708990e-22   5.0417e-01  9.92823e-01
    0.00760 5.152260e-16 5.152720e-16 5.775460e-22   5.0002e-01  9.92647e-01
    0.00770 5.192330e-16 5.200510e-16 5.824700e-22   5.0039e-01  9.92481e-01
    0.00781 5.279890e-16 5.257190e-16 5.905550e-22   4.9892e-01  9.92237e-01
    0.00791 5.476720e-16 5.295200e-16 6.037170e-22   4.9157e-01  9.91888e-01
    0.00802 5.477950e-16 5.198500e-16 5.983660e-22   4.8691e-01  9.92050e-01
    0.00813 5.425860e-16 5.312630e-16 6.018420e-22   4.9473e-01  9.91845e-01
    0.00824 5.487970e-16 5.384220e-16 6.093360e-22   4.9523e-01  9.91577e-01
    0.00835 5.566540e-16 5.441360e-16 6.169420e-22   4.9431e-01  9.91316e-01
    0.00846 5.643520e-16 5.489930e-16 6.239790e-22   4.9310e-01  9.91067e-01
    0.00858 5.718700e-16 5.542400e-16 6.311330e-22   4.9217e-01  9.90802e-01
    0.00869 5.800520e-16 5.589060e-16 6.383330e-22   4.9072e-01  9.90530e-01
    0.00881 5.880380e-16 5.634540e-16 6.453580e-22   4.8932e-01  9.90252e-01
    0.00893 5.963030e-16 5.686300e-16 6.528910e-22   4.8812e-01  9.89949e-01
    0.00905 6.046560e-16 5.741110e-16 6.606450e-22   4.8704e-01  9.89632e-01
    0.00917 6.128090e-16 5.794340e-16 6.681970e-22   4.8600e-01  9.89308e-01
    0.00930 6.250160e-16 5.847750e-16 6.780320e-22   4.8337e-01  9.88911e-01
    0.00942 6.372890e-16 5.900230e-16 6.878510e-22   4.8074e-01  9.88500e-01
    0.00955 6.497230e-16 5.951480e-16 6.976930e-22   4.7808e-01  9.88073e-01
    0.00968 6.676730e-16 6.001250e-16 7.105420e-22   4.7336e-01  9.87559e-01
    0.00981 6.933020e-16 6.019210e-16 7.259120e-22   4.6472e-01  9.87010e-01
    0.00994 7.165990e-16 5.959660e-16 7.356320e-22   4.5405e-01  9.86756e-01
    0.01008 7.179240e-16 5.918950e-16 7.340930e-22   4.5189e-01  9.86771e-01
    0.01021 7.180610e-16 5.908790e-16 7.336010e-22   4.5142e-01  9.86691e-01
    0.01035 7.133620e-16 5.930700e-16 7.321950e-22   4.5396e-01  9.86569e-01
    0.01049 7.174760e-16 6.038330e-16 7.405330e-22   4.5700e-01  9.86017e-01
    0.01063 7.379770e-16 6.129190e-16 7.571150e-22   4.5371e-01  9.85233e-01
    0.01078 7.676380e-16 6.156550e-16 7.752720e-22   4.4506e-01  9.84509e-01
    0.01092 7.924160e-16 6.077680e-16 7.847380e-22   4.3406e-01  9.84281e-01
    0.01107 7.834550e-16 5.993530e-16 7.750000e-22   4.3343e-01  9.84589e-01
    0.01122 7.808510e-16 6.068450e-16 7.777400e-22   4.3730e-01  9.84172e-01
    0.01137 7.953890e-16 6.152010e-16 7.905700e-22   4.3613e-01  9.83433e-01
    0.01153 8.372540e-16 6.316380e-16 8.232460e-22   4.3001e-01  9.81840e-01
    0.01168 9.407600e-16 6.294970e-16 8.800560e-22   4.0089e-01  9.80094e-01
    0.01184 8.912200e-16 5.650700e-16 8.161830e-22   3.8802e-01  9.83544e-01
    0.01200 7.795630e-16 5.457760e-16 7.427910e-22   4.1180e-01  9.85314e-01
    0.01216 7.594800e-16 5.653890e-16 7.425280e-22   4.2675e-01  9.84740e-01
    0.01233 7.614300e-16 5.771140e-16 7.501920e-22   4.3115e-01  9.84104e-01
    0.01249 7.634810e-16 5.871900e-16 7.569880e-22   4.3474e-01  9.83490e-01
    0.01266 7.722840e-16 5.954710e-16 7.665640e-22   4.3536e-01  9.82808e-01
    0.01283 7.784630e-16 6.005010e-16 7.728450e-22   4.3547e-01  9.82259e-01
    0.01301 7.854230e-16 6.085980e-16 7.812850e-22   4.3658e-01  9.81559e-01
    0.01318 8.070610e-16 6.127410e-16 7.957330e-22   4.3157e-01  9.80737e-01
    0.01336 8.091140e-16 6.084460e-16 7.944770e-22   4.2922e-01  9.80572e-01
    0.01354 8.040740e-16 6.134360e-16 7.944490e-22   4.3276e-01  9.80136e-01
    0.01372 8.104380e-16 6.203840e-16 8.019090e-22   4.3359e-01  9.79407e-01
    0.01391 8.205040e-16 6.256080e-16 8.104790e-22   4.3261e-01  9.78654e-01
    0.01410 8.308140e-16 6.298320e-16 8.186240e-22   4.3120e-01  9.77913e-01
    0.01429 8.418590e-16 6.335460e-16 8.268970e-22   4.2941e-01  9.77159e-01
    0.01448 8.529060e-16 6.366750e-16 8.348410e-22   4.2742e-01  9.76407e-01
    0.01468 8.638670e-16 6.392530e-16 8.424290e-22   4.2528e-01  9.75656e-01
    0.01488 8.747550e-16 6.418160e-16 8.499680e-22   4.2320e-01  9.74883e-01
    0.01508 8.860150e-16 6.442340e-16 8.576340e-22   4.2100e-01  9.74091e-01
    0.01528 8.972410e-16 6.464280e-16 8.651550e-22   4.1876e-01  9.73290e-01
    0.01549 9.083050e-16 6.483880e-16 8.724540e-22   4.1652e-01  9.72484e-01
